xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
-0.5	0.5	1	itération	0	itération	0	1
0.5	1.5	1 0	itération	1	itération	0	1
1.5	2.5	2 0	itération	2	itération	0	1
2.5	3.5	3 0	itération	3	itération	0	1
3.5	4.5	4 0	itération	4	itération	0	1
4.5	5.5	5 0	itération	5	itération	0	1
5.5	6.5	6 0	itération	6	itération	0	1
6.5	7.5	7 0	itération	7	itération	0	1
7.5	8.5	8 0	itération	8	itération	0	1
8.5	9.5	9 0	itération	9	itération	0	1
9.5	10.5	10 0	itération	10	itération	0	1
10.5	11.5	11 0	itération	11	itération	0	1
11.5	12.5	12 0	itération	12	itération	0	1
12.5	13.5	13 0	itération	13	itération	0	1
13.5	14.5	14 0	itération	14	itération	0	1
14.5	15.5	15 0	itération	15	itération	0	1
15.5	16.5	16 0	itération	16	itération	0	1
16.5	17.5	17 0	itération	17	itération	0	1
17.5	18.5	18 0	itération	18	itération	0	1
18.5	19.5	19 0	itération	19	itération	0	1
19.5	20.5	20 0	itération	20	itération	0	1
20.5	21.5	21 0	itération	21	itération	0	1
21.5	22.5	22 0	itération	22	itération	0	1
22.5	23.5	23 0	itération	23	itération	0	1
23.5	24.5	24 0	itération	24	itération	0	1
24.5	25.5	25 0	itération	25	itération	0	1
25.5	26.5	26 0	itération	26	itération	0	1
26.5	27.5	27 0	itération	27	itération	0	1
27.5	28.5	28 0	itération	28	itération	0	1
28.5	29.5	29 0	itération	29	itération	0	1
29.5	30.5	30 0	itération	30	itération	0	1
30.5	31.5	31 0	itération	31	itération	0	1
31.5	32.5	32 0	itération	32	itération	0	1
32.5	33.5	33 0	itération	33	itération	0	1
33.5	34.5	34 0	itération	34	itération	0	1
34.5	35.5	35 0	itération	35	itération	0	1
35.5	36.5	36 0	itération	36	itération	0	1
36.5	37.5	37 0	itération	37	itération	0	1
37.5	38.5	38 0	itération	38	itération	0	1
38.5	39.5	39 0	itération	39	itération	0	1
39.5	40.5	40 0	itération	40	itération	0	1
-0.5	0.5	0 1	itération	0	itération	1	1
0.5	1.5	1	itération	1	itération	1	1
1.5	2.5	2 1	itération	2	itération	1	1
2.5	3.5	3 1	itération	3	itération	1	1
3.5	4.5	4 1	itération	4	itération	1	1
4.5	5.5	5 1	itération	5	itération	1	1
5.5	6.5	6 1	itération	6	itération	1	1
6.5	7.5	7 1	itération	7	itération	1	1
7.5	8.5	8 1	itération	8	itération	1	1
8.5	9.5	9 1	itération	9	itération	1	1
9.5	10.5	10 1	itération	10	itération	1	1
10.5	11.5	11 1	itération	11	itération	1	1
11.5	12.5	12 1	itération	12	itération	1	1
12.5	13.5	13 1	itération	13	itération	1	1
13.5	14.5	14 1	itération	14	itération	1	1
14.5	15.5	15 1	itération	15	itération	1	1
15.5	16.5	16 1	itération	16	itération	1	1
16.5	17.5	17 1	itération	17	itération	1	1
17.5	18.5	18 1	itération	18	itération	1	1
18.5	19.5	19 1	itération	19	itération	1	1
19.5	20.5	20 1	itération	20	itération	1	1
20.5	21.5	21 1	itération	21	itération	1	1
21.5	22.5	22 1	itération	22	itération	1	1
22.5	23.5	23 1	itération	23	itération	1	1
23.5	24.5	24 1	itération	24	itération	1	1
24.5	25.5	25 1	itération	25	itération	1	1
25.5	26.5	26 1	itération	26	itération	1	1
26.5	27.5	27 1	itération	27	itération	1	1
27.5	28.5	28 1	itération	28	itération	1	1
28.5	29.5	29 1	itération	29	itération	1	1
29.5	30.5	30 1	itération	30	itération	1	1
30.5	31.5	31 1	itération	31	itération	1	1
31.5	32.5	32 1	itération	32	itération	1	1
32.5	33.5	33 1	itération	33	itération	1	1
33.5	34.5	34 1	itération	34	itération	1	1
34.5	35.5	35 1	itération	35	itération	1	1
35.5	36.5	36 1	itération	36	itération	1	1
36.5	37.5	37 1	itération	37	itération	1	1
37.5	38.5	38 1	itération	38	itération	1	1
38.5	39.5	39 1	itération	39	itération	1	1
39.5	40.5	40 1	itération	40	itération	1	1
-0.5	0.5	0 2	itération	0	itération	2	1
0.5	1.5	1 2	itération	1	itération	2	1
1.5	2.5	1	itération	2	itération	2	1
2.5	3.5	3 2	itération	3	itération	2	1
3.5	4.5	4 2	itération	4	itération	2	1
4.5	5.5	5 2	itération	5	itération	2	1
5.5	6.5	6 2	itération	6	itération	2	1
6.5	7.5	7 2	itération	7	itération	2	1
7.5	8.5	8 2	itération	8	itération	2	1
8.5	9.5	9 2	itération	9	itération	2	1
9.5	10.5	10 2	itération	10	itération	2	1
10.5	11.5	11 2	itération	11	itération	2	1
11.5	12.5	12 2	itération	12	itération	2	1
12.5	13.5	13 2	itération	13	itération	2	1
13.5	14.5	14 2	itération	14	itération	2	1
14.5	15.5	15 2	itération	15	itération	2	1
15.5	16.5	16 2	itération	16	itération	2	1
16.5	17.5	17 2	itération	17	itération	2	1
17.5	18.5	18 2	itération	18	itération	2	1
18.5	19.5	19 2	itération	19	itération	2	1
19.5	20.5	20 2	itération	20	itération	2	1
20.5	21.5	21 2	itération	21	itération	2	1
21.5	22.5	22 2	itération	22	itération	2	1
22.5	23.5	23 2	itération	23	itération	2	1
23.5	24.5	24 2	itération	24	itération	2	1
24.5	25.5	25 2	itération	25	itération	2	1
25.5	26.5	26 2	itération	26	itération	2	1
26.5	27.5	27 2	itération	27	itération	2	1
27.5	28.5	28 2	itération	28	itération	2	1
28.5	29.5	29 2	itération	29	itération	2	1
29.5	30.5	30 2	itération	30	itération	2	1
30.5	31.5	31 2	itération	31	itération	2	1
31.5	32.5	32 2	itération	32	itération	2	1
32.5	33.5	33 2	itération	33	itération	2	1
